"filename", "language", "HTML", "TypeScript", "SCSS", "comment", "blank", "total"
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\assingments-page\assingments-page.component.ts", "TypeScript", 0, 42, 0, 9, 9, 60
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\edit-profile-page\edit-profile-page.component.html", "HTML", 69, 0, 0, 9, 7, 85
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\edit-profile-page\edit-profile-page.component.scss", "SCSS", 0, 0, 25, 2, 4, 31
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\edit-profile-page\edit-profile-page.component.spec.ts", "TypeScript", 0, 20, 0, 0, 6, 26
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\edit-profile-page\edit-profile-page.component.ts", "TypeScript", 0, 60, 0, 1, 11, 72
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\groups\groups.component.html", "HTML", 1, 0, 0, 0, 1, 2
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\groups\groups.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\groups\groups.component.spec.ts", "TypeScript", 0, 20, 0, 0, 6, 26
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\groups\groups.component.ts", "TypeScript", 0, 11, 0, 0, 5, 16
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\localization-page\localization-page.component.html", "HTML", 32, 0, 0, 0, 16, 48
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\localization-page\localization-page.component.scss", "SCSS", 0, 0, 26, 0, 10, 36
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\localization-page\localization-page.component.spec.ts", "TypeScript", 0, 20, 0, 0, 6, 26
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\localization-page\localization-page.component.ts", "TypeScript", 0, 11, 0, 0, 5, 16
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\shared\shared.module.ts", "TypeScript", 0, 97, 0, 0, 3, 100
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\system-routing.module.ts", "TypeScript", 0, 53, 0, 0, 4, 57
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\system.component.html", "HTML", 56, 0, 0, 94, 6, 156
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\system.component.scss", "SCSS", 0, 0, 251, 7, 41, 299
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\system.component.ts", "TypeScript", 0, 43, 0, 0, 14, 57
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\system.module.ts", "TypeScript", 0, 127, 0, 2, 5, 134
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\task-info-page\add-step-page\add-step-page.component.html", "HTML", 33, 0, 0, 0, 10, 43
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\task-info-page\add-step-page\add-step-page.component.scss", "SCSS", 0, 0, 17, 0, 5, 22
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\task-info-page\add-step-page\add-step-page.component.spec.ts", "TypeScript", 0, 20, 0, 0, 6, 26
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\task-info-page\add-step-page\add-step-page.component.ts", "TypeScript", 0, 71, 0, 7, 19, 97
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\task-info-page\dialog-add-step\dialog-add-step.component.html", "HTML", 12, 0, 0, 1, 3, 16
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\task-info-page\dialog-add-step\dialog-add-step.component.scss", "SCSS", 0, 0, 6, 0, 1, 7
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\task-info-page\dialog-add-step\dialog-add-step.component.spec.ts", "TypeScript", 0, 20, 0, 0, 6, 26
